employee_id,first_name,last_name,role,department,office,years_with_company,assigned_project,security_clearance
IT-011,Kristen,Richard,IT Security Administrator,Information Technology,Tucson,25,Identity Modernization,Trade Secret
IT-012,Travis,Davies,IT Security Administrator,Information Technology,Boston,14,Endpoint Security,Trade Secret
IT-013,James,Cooper,IT Security Administrator,Information Technology,Tucson,18,Infrastructure,Trade Secret
IT-014,Jennifer,Clark,IT Security Administrator,Information Technology,Tucson,2,Endpoint Security,Trade Secret
IT-015,Todd,Reed,IT Security Administrator,Information Technology,Boston,2,Cloud Migration,Trade Secret
IT-016,Sean,Ellis,IT Security Administrator,Information Technology,Boston,17,Endpoint Security,Trade Secret
IT-017,Jonathan,May,IT Security Administrator,Information Technology,Tucson,25,Infrastructure,Trade Secret
IT-018,Samantha,Jackson,IT Security Administrator,Information Technology,Tucson,18,Infrastructure,Trade Secret
IT-019,Susan,Greene,IT Security Administrator,Information Technology,Boston,8,Endpoint Security,Trade Secret
IT-020,Joshua,Gray,IT Security Administrator,Information Technology,Tucson,23,Identity Modernization,Trade Secret
IT-021,Christopher,Thomas,IT Security Administrator,Information Technology,Tucson,9,Identity Modernization,Trade Secret
IT-022,Stephen,Bridges,IT Security Administrator,Information Technology,Boston,13,Endpoint Security,Trade Secret
IT-023,Daniel,Diaz,IT Security Administrator,Information Technology,Tucson,21,Endpoint Security,Trade Secret
IT-024,Aaron,Potter,IT Security Administrator,Information Technology,Tucson,9,Cloud Migration,Trade Secret
IT-025,Amanda,Gordon,IT Security Administrator,Information Technology,Tucson,15,Identity Modernization,Trade Secret
IT-026,James,Clark,IT Security Administrator,Information Technology,Boston,12,Infrastructure,Trade Secret
IT-027,Rodney,Blackburn,IT Security Administrator,Information Technology,Tucson,15,Cloud Migration,Trade Secret
IT-028,Kathy,Andrade,IT Security Administrator,Information Technology,Boston,18,Cloud Migration,Trade Secret
IT-029,Sarah,Aguilar,IT Security Administrator,Information Technology,Tucson,8,Identity Modernization,Trade Secret
IT-030,Rachel,Huerta,IT Security Administrator,Information Technology,Boston,22,Identity Modernization,Trade Secret
IT-031,Rachael,Bullock,IT Security Administrator,Information Technology,Tucson,24,Infrastructure,Trade Secret
IT-032,Sara,Hernandez,IT Security Administrator,Information Technology,Tucson,17,Infrastructure,Trade Secret
IT-033,Amy,Zamora,IT Security Administrator,Information Technology,Boston,6,Infrastructure,Trade Secret
IT-034,Erin,Wilson,IT Security Administrator,Information Technology,Tucson,20,Endpoint Security,Trade Secret
IT-035,Carrie,Mays,IT Security Administrator,Information Technology,Tucson,25,Identity Modernization,Trade Secret
EX-001,Jonathan,Hardin,Executive Leadership,Executive Leadership,Boston,19,Research Portfolio,Trade Secret
EX-002,James,Johnson,Executive Leadership,Executive Leadership,Boston,18,Research Portfolio,Trade Secret
EX-003,Steven,Powers,Executive Leadership,Executive Leadership,Tucson,7,Corporate Strategy,Trade Secret
EX-004,Michael,Cooper,Executive Leadership,Executive Leadership,Boston,4,Technology Modernization,Trade Secret
EX-005,Cynthia,Silva,Executive Leadership,Executive Leadership,Boston,5,Technology Modernization,Trade Secret
EX-006,Leroy,Garcia,Executive Leadership,Executive Leadership,Tucson,1,Corporate Strategy,Trade Secret
EX-007,Mark,Hernandez,Executive Leadership,Executive Leadership,Boston,0,Technology Modernization,Trade Secret
EX-008,John,Hall,Executive Leadership,Executive Leadership,Tucson,14,Corporate Strategy,Trade Secret
EX-009,Abigail,Garcia,Executive Leadership,Executive Leadership,Tucson,8,Technology Modernization,Trade Secret
EX-010,Martin,Harris,Executive Leadership,Executive Leadership,Boston,19,Research Portfolio,Trade Secret
